p,q,stormy,mixed,cold,rainy,mon,tue,wed,thu
-.5108256,7.28961,0,0,0,0,0,1,0,0
-.6149098,9.415728,0,0,0,0,0,0,1,0
-.3876929,8.740336,0,0,0,0,0,0,0,1
-.3716677,8.584852,0,0,0,0,0,0,0,0
-.3101549,8.657825,0,0,1,0,1,0,0,0
-.3502024,7.383989,0,0,0,0,0,1,0,0
-.2231435,6.194406,0,0,0,0,0,0,1,0
-.3119048,9.187583,0,0,0,0,0,0,0,1
-.2258646,8.779557,0,0,0,1,0,0,0,0
-.2842691,9.261033,0,0,0,0,0,1,0,0
-.0971638,8.294049,0,0,0,0,0,0,1,0
-.1419181,8.737132,0,0,0,1,0,0,0,1
-.5364382,9.651816,0,0,0,0,0,0,0,0
-.4596867,8.552561,0,0,0,0,1,0,0,0
-.4866114,8.163371,0,0,0,0,0,1,0,0
-.7603559,8.663024,0,0,0,0,0,0,1,0
-.8931236,9.099409,0,0,0,0,0,0,0,1
-1.107745,9.014325,0,0,0,0,0,0,0,0
-.7985078,8.610683,0,0,0,0,1,0,0,0
-.0870114,7.162397,0,1,0,0,0,1,0,0
.1849223,7.36201,0,1,0,0,0,0,1,0
.2231435,8.764053,0,1,0,0,0,0,0,1
.5611184,8.328451,0,1,0,0,0,0,0,0
